"item" "cond" "region" "subj" "expt" "rt" "region.id" "region2" "probs" "dist.exp" "dist.noexp" "exp" "dist" "int" "lrt"
"206" 10 "a" "CPLightVerb" 52 "CP1" 828 4 "crit" 1 -1 0 1 -1 -1 6.71901315438526
"209" 10 "a" "CPLightVerb" 12 "CP1" 1109 4 "crit" 1 -1 0 1 -1 -1 7.01121398735037
"213" 10 "a" "CPLightVerb" 56 "CP1" 734 4 "crit" 1 -1 0 1 -1 -1 6.59850902861452
"219" 10 "a" "CPLightVerb" 48 "CP1" 657 4 "crit" 1 -1 0 1 -1 -1 6.48768401848461
"221" 10 "a" "CPLightVerb" 8 "CP1" 453 4 "crit" 1 -1 0 1 -1 -1 6.11589212548303
"222" 10 "a" "CPLightVerb" 44 "CP1" 547 4 "crit" 1 -1 0 1 -1 -1 6.30444880242198
"225" 10 "a" "CPLightVerb" 24 "CP1" 640 4 "crit" 1 -1 0 1 -1 -1 6.46146817635372
"226" 10 "b" "CPLightVerb" 41 "CP1" 641 4 "crit" 1 1 0 1 1 1 6.46302945692067
"227" 10 "b" "CPLightVerb" 13 "CP1" 3891 4 "crit" 1 1 0 1 1 1 8.26642147298455
"235" 10 "b" "CPLightVerb" 57 "CP1" 594 4 "crit" 1 1 0 1 1 1 6.38687931936265
"236" 10 "b" "CPLightVerb" 37 "CP1" 1109 4 "crit" 1 1 0 1 1 1 7.01121398735037
"240" 10 "b" "CPLightVerb" 25 "CP1" 531 4 "crit" 1 1 0 1 1 1 6.27476202124194
"242" 10 "b" "CPLightVerb" 33 "CP1" 3375 4 "crit" 1 1 0 1 1 1 8.12415060330663
"243" 10 "b" "CPLightVerb" 45 "CP1" 1937 4 "crit" 1 1 0 1 1 1 7.568895663407
"244" 10 "b" "CPLightVerb" 17 "CP1" 1328 4 "crit" 1 1 0 1 1 1 7.19142933003638
"245" 10 "b" "CPLightVerb" 21 "CP1" 766 4 "crit" 1 1 0 1 1 1 6.64118216974059
"250" 10 "b" "CPLightVerb" 49 "CP1" 469 4 "crit" 1 1 0 1 1 1 6.15060276844628
"254" 10 "b" "CPLightVerb" 5 "CP1" 515 4 "crit" 1 1 0 1 1 1 6.24416690066374
"256" 10 "b" "CPLightVerb" 53 "CP1" 469 4 "crit" 1 1 0 1 1 1 6.15060276844628
"257" 10 "b" "CPLightVerb" 1 "CP1" 375 4 "crit" 1 1 0 1 1 1 5.92692602597041
"258" 10 "b" "CPLightVerb" 29 "CP1" 3265 4 "crit" 1 1 0 1 1 1 8.09101504171053
"264" 10 "b" "CPLightVerb" 9 "CP1" 1453 4 "crit" 1 1 0 1 1 1 7.28138566357028
"275" 10 "c" "MainVerb" 58 "CP1" 500 4 "crit" 0 0 -1 -1 -1 1 6.21460809842219
"278" 10 "c" "MainVerb" 38 "CP1" 406 4 "crit" 0 0 -1 -1 -1 1 6.00635315960173
"282" 10 "c" "MainVerb" 42 "CP1" 1265 4 "crit" 0 0 -1 -1 -1 1 7.14282740116162
"285" 10 "c" "MainVerb" 26 "CP1" 484 4 "crit" 0 0 -1 -1 -1 1 6.18208490671663
"287" 10 "c" "MainVerb" 14 "CP1" 844 4 "crit" 0 0 -1 -1 -1 1 6.73815249459596
"289" 10 "c" "MainVerb" 50 "CP1" 547 4 "crit" 0 0 -1 -1 -1 1 6.30444880242198
"291" 10 "c" "MainVerb" 30 "CP1" 812 4 "crit" 0 0 -1 -1 -1 1 6.69950034016168
"292" 10 "c" "MainVerb" 18 "CP1" 516 4 "crit" 0 0 -1 -1 -1 1 6.24610676548156
"299" 10 "c" "MainVerb" 46 "CP1" 954 4 "crit" 0 0 -1 -1 -1 1 6.86066367144829
"300" 10 "c" "MainVerb" 10 "CP1" 1281 4 "crit" 0 0 -1 -1 -1 1 7.15539630189673
"303" 10 "c" "MainVerb" 6 "CP1" 828 4 "crit" 0 0 -1 -1 -1 1 6.71901315438526
"306" 10 "c" "MainVerb" 22 "CP1" 531 4 "crit" 0 0 -1 -1 -1 1 6.27476202124194
"307" 10 "c" "MainVerb" 34 "CP1" 609 4 "crit" 0 0 -1 -1 -1 1 6.4118182677099
"311" 10 "c" "MainVerb" 2 "CP1" 641 4 "crit" 0 0 -1 -1 -1 1 6.46302945692067
"315" 10 "c" "MainVerb" 54 "CP1" 859 4 "crit" 0 0 -1 -1 -1 1 6.75576892198425
"316" 10 "d" "MainVerb" 55 "CP1" 781 4 "crit" 0 0 1 -1 1 -1 6.66057514983969
"321" 10 "d" "MainVerb" 35 "CP1" 578 4 "crit" 0 0 1 -1 1 -1 6.35957386867238
"322" 10 "d" "MainVerb" 7 "CP1" 1563 4 "crit" 0 0 1 -1 1 -1 7.35436233042148
"323" 10 "d" "MainVerb" 51 "CP1" 703 4 "crit" 0 0 1 -1 1 -1 6.55535689181067
"325" 10 "d" "MainVerb" 3 "CP1" 610 4 "crit" 0 0 1 -1 1 -1 6.41345895716736
"326" 10 "d" "MainVerb" 39 "CP1" 453 4 "crit" 0 0 1 -1 1 -1 6.11589212548303
"328" 10 "d" "MainVerb" 43 "CP1" 344 4 "crit" 0 0 1 -1 1 -1 5.8406416573734
"330" 10 "d" "MainVerb" 47 "CP1" 656 4 "crit" 0 0 1 -1 1 -1 6.48616078894409
"332" 10 "d" "MainVerb" 23 "CP1" 437 4 "crit" 0 0 1 -1 1 -1 6.07993319509559
"337" 10 "d" "MainVerb" 15 "CP1" 704 4 "crit" 0 0 1 -1 1 -1 6.55677835615804
"343" 10 "d" "MainVerb" 59 "CP1" 656 4 "crit" 0 0 1 -1 1 -1 6.48616078894409
"344" 10 "d" "MainVerb" 31 "CP1" 547 4 "crit" 0 0 1 -1 1 -1 6.30444880242198
"347" 10 "d" "MainVerb" 27 "CP1" 515 4 "crit" 0 0 1 -1 1 -1 6.24416690066374
"350" 10 "d" "MainVerb" 11 "CP1" 1125 4 "crit" 0 0 1 -1 1 -1 7.02553831463852
"359" 10 "d" "MainVerb" 19 "CP1" 1156 4 "crit" 0 0 1 -1 1 -1 7.05272104923232
"363" 11 "a" "CPLightVerb" 27 "CP1" 656 4 "crit" 1 -1 0 1 -1 -1 6.48616078894409
"366" 11 "a" "CPLightVerb" 15 "CP1" 375 4 "crit" 1 -1 0 1 -1 -1 5.92692602597041
"371" 11 "a" "CPLightVerb" 43 "CP1" 609 4 "crit" 1 -1 0 1 -1 -1 6.4118182677099
"373" 11 "a" "CPLightVerb" 39 "CP1" 406 4 "crit" 1 -1 0 1 -1 -1 6.00635315960173
"376" 11 "a" "CPLightVerb" 19 "CP1" 1016 4 "crit" 1 -1 0 1 -1 -1 6.92362862813843
"380" 11 "a" "CPLightVerb" 31 "CP1" 610 4 "crit" 1 -1 0 1 -1 -1 6.41345895716736
"385" 11 "a" "CPLightVerb" 35 "CP1" 406 4 "crit" 1 -1 0 1 -1 -1 6.00635315960173
"388" 11 "a" "CPLightVerb" 11 "CP1" 688 4 "crit" 1 -1 0 1 -1 -1 6.53378883793334
"391" 11 "a" "CPLightVerb" 3 "CP1" 578 4 "crit" 1 -1 0 1 -1 -1 6.35957386867238
"392" 11 "a" "CPLightVerb" 7 "CP1" 484 4 "crit" 1 -1 0 1 -1 -1 6.18208490671663
"393" 11 "a" "CPLightVerb" 55 "CP1" 1234 4 "crit" 1 -1 0 1 -1 -1 7.11801620446533
"395" 11 "a" "CPLightVerb" 59 "CP1" 531 4 "crit" 1 -1 0 1 -1 -1 6.27476202124194
"397" 11 "a" "CPLightVerb" 51 "CP1" 1531 4 "crit" 1 -1 0 1 -1 -1 7.33367639565768
"398" 11 "a" "CPLightVerb" 23 "CP1" 453 4 "crit" 1 -1 0 1 -1 -1 6.11589212548303
"401" 11 "a" "CPLightVerb" 47 "CP1" 547 4 "crit" 1 -1 0 1 -1 -1 6.30444880242198
"408" 11 "b" "CPLightVerb" 20 "CP1" 1375 4 "crit" 1 1 0 1 1 1 7.22620901010067
"410" 11 "b" "CPLightVerb" 24 "CP1" 1000 4 "crit" 1 1 0 1 1 1 6.90775527898214
"411" 11 "b" "CPLightVerb" 40 "CP1" 1390 4 "crit" 1 1 0 1 1 1 7.23705902612474
"413" 11 "b" "CPLightVerb" 32 "CP1" 1156 4 "crit" 1 1 0 1 1 1 7.05272104923232
"414" 11 "b" "CPLightVerb" 12 "CP1" 2469 4 "crit" 1 1 0 1 1 1 7.81156848934518
"415" 11 "b" "CPLightVerb" 8 "CP1" 765 4 "crit" 1 1 0 1 1 1 6.63987583382654
"417" 11 "b" "CPLightVerb" 44 "CP1" 1093 4 "crit" 1 1 0 1 1 1 6.99668148817654
